purchaseID,itemId,buyDate,sessionId
1,1,"2022-02-02 21:32:43",17
2,3,"2022-02-03 05:46:15",18
3,2,"2022-06-03 07:43:07",30
4,1,"2022-06-03 12:46:54",32
5,2,"2022-06-04 18:33:06",38
6,1,"2022-05-01 11:18:51",49
7,2,"2022-05-01 19:25:46",51
8,3,"2022-06-27 03:38:22",56
9,1,"2022-06-29 13:33:44",67
10,5,"2022-06-30 18:07:04",73
11,1,"2022-08-30 23:34:14",82
12,3,"2022-08-31 05:55:55",84
13,2,"2022-09-01 11:59:58",89
14,2,"2022-09-01 17:34:00",90
15,1,"2022-09-02 07:53:43",94
16,2,"2022-09-02 12:25:11",95
17,2,"2022-09-02 19:04:43",97
18,1,"2022-09-03 00:31:44",98
19,3,"2022-01-12 04:49:43",113
20,3,"2022-12-03 13:37:09",125
21,3,"2022-12-05 04:12:35",134
22,1,"2022-12-08 02:41:54",146
23,1,"2022-11-26 21:01:05",163
24,3,"2022-11-28 15:20:18",169
25,3,"2022-09-25 12:47:16",172
26,2,"2022-09-26 02:51:23",175
27,1,"2022-09-26 22:10:19",180
28,5,"2022-06-05 21:34:21",195
29,1,"2022-06-18 12:02:53",215
30,1,"2022-09-08 05:14:24",225
31,2,"2022-09-09 05:56:05",231
32,2,"2022-07-05 00:46:54",242
33,1,"2022-07-05 12:47:50",245
34,2,"2022-07-07 00:55:27",251
35,5,"2022-11-15 11:03:59",256
36,1,"2022-02-12 20:32:15",257
37,3,"2022-04-30 10:12:42",264
38,1,"2022-05-10 21:40:16",273
39,1,"2022-06-24 14:49:40",277
40,1,"2022-06-24 16:50:23",278
41,1,"2022-06-25 22:47:39",284
42,1,"2022-06-26 02:46:48",286
43,2,"2022-06-27 08:44:37",292
44,2,"2022-08-02 18:36:44",309
45,2,"2022-08-03 07:58:02",312
46,2,"2022-08-04 21:38:40",321
47,1,"2022-08-05 07:49:28",324
48,1,"2022-08-06 23:03:06",332
49,3,"2022-08-07 11:27:16",334
50,2,"2022-08-10 00:10:34",344
51,1,"2022-08-10 03:07:13",346
52,5,"2022-08-11 02:46:27",350
53,2,"2022-11-03 16:09:01",362
54,1,"2022-11-05 02:13:11",369
55,3,"2022-11-06 03:33:51",373
56,5,"2022-10-26 14:51:04",407
57,2,"2022-07-06 11:09:41",414
58,2,"2022-07-06 21:15:37",416
59,2,"2022-07-07 19:12:59",420
60,1,"2022-12-10 12:47:35",433
61,2,"2022-12-11 23:50:18",440
62,1,"2022-12-13 07:12:17",447
63,3,"2022-12-20 07:38:33",475
64,1,"2022-08-10 08:04:16",480
65,5,"2022-08-10 13:57:53",481
66,1,"2022-07-27 19:41:30",505
67,2,"2022-07-28 13:53:39",509
68,1,"2022-09-08 07:32:44",529
69,1,"2022-09-10 04:54:43",537
70,2,"2022-09-02 10:13:13",542
71,2,"2022-09-03 19:42:59",548
72,2,"2022-09-04 02:17:49",549
73,3,"2022-09-04 18:51:33",552
74,1,"2022-10-04 09:13:26",564
75,5,"2022-10-05 02:15:44",567
76,2,"2022-10-05 07:14:55",568
77,1,"2022-07-09 03:42:23",584
78,3,"2022-02-25 10:23:29",604
79,2,"2022-11-08 19:24:59",606
80,1,"2022-11-13 17:58:38",620
81,1,"2022-09-01 14:08:50",628
82,1,"2022-04-17 11:29:39",642
83,1,"2022-09-12 13:07:51",650
84,2,"2022-09-13 20:04:11",655
85,3,"2022-09-14 16:24:49",661
86,1,"2022-09-16 04:34:44",668
87,3,"2022-08-31 11:32:15",675
88,1,"2022-08-31 18:21:39",676
89,1,"2022-09-01 22:53:02",680
90,5,"2022-09-02 02:36:38",681
91,3,"2022-10-31 16:42:43",698
92,1,"2022-11-01 02:08:02",700
93,2,"2022-11-01 10:26:29",702
94,1,"2022-11-03 12:44:37",711
95,2,"2022-02-16 09:46:39",719
96,5,"2022-11-30 00:47:17",722
97,1,"2022-11-30 23:26:09",725
98,5,"2022-12-01 23:38:12",729
99,1,"2022-12-02 04:10:32",731
100,2,"2022-12-02 11:26:54",733
101,2,"2022-12-03 10:05:42",738
102,2,"2022-12-03 21:27:44",741
103,1,"2022-12-07 23:21:29",757
104,1,"2022-12-10 12:04:29",769
105,1,"2022-03-05 11:03:48",789
106,1,"2022-01-25 20:01:42",792
107,3,"2022-01-26 06:05:14",794
108,1,"2022-07-08 22:30:39",810
109,3,"2022-07-09 16:57:11",815
110,1,"2022-07-10 15:26:39",820
111,1,"2022-06-22 15:14:13",845
112,1,"2022-01-27 09:13:44",858
113,3,"2022-06-29 10:50:39",860
114,1,"2022-06-30 04:33:43",863
115,2,"2022-11-28 11:48:00",879
116,1,"2022-04-27 13:47:18",885
117,3,"2022-11-30 02:55:26",895
118,1,"2022-11-30 06:58:09",896
119,1,"2022-05-09 08:26:58",906
120,2,"2022-05-19 08:01:08",913
121,2,"2022-11-09 10:16:21",920
122,1,"2022-06-03 23:26:27",940
123,1,"2022-06-04 12:56:49",943
124,3,"2022-06-07 11:57:18",957
125,3,"2022-02-24 21:28:30",972
126,2,"2022-07-02 10:44:39",995
127,5,"2022-07-03 20:45:12",1002
128,1,"2022-07-04 09:55:19",1004
129,2,"2022-07-04 23:43:29",1007
130,1,"2022-07-23 14:41:13",1027
131,2,"2022-07-16 14:33:48",1042
132,1,"2022-11-26 01:05:50",1056
133,1,"2022-08-15 23:29:45",1062
134,1,"2022-12-30 07:49:13",1070
135,2,"2022-12-30 13:40:16",1071
136,2,"2022-11-27 17:52:05",1090
137,5,"2022-11-28 11:40:22",1095
138,2,"2022-12-04 05:27:28",1124
139,3,"2022-12-05 06:14:24",1130
140,1,"2022-05-02 00:24:49",1142
141,3,"2022-02-25 12:36:05",1145
142,5,"2022-04-05 06:20:11",1161
143,2,"2022-06-22 11:08:13",1172
144,2,"2022-06-23 19:58:14",1180
145,5,"2022-06-24 20:46:37",1184
146,5,"2022-06-29 16:37:58",1207
147,1,"2022-07-01 08:25:48",1216
148,2,"2022-12-12 13:37:31",1225
149,1,"2022-12-13 09:51:30",1228
150,1,"2022-12-13 18:18:26",1230
151,1,"2022-08-12 11:47:38",1246
152,1,"2022-08-14 15:12:18",1259
153,1,"2022-08-28 02:54:10",1262
154,3,"2022-08-30 10:40:01",1271
155,1,"2022-09-01 00:06:13",1278
156,1,"2022-09-05 22:50:55",1301
157,1,"2022-09-06 16:32:44",1304
158,2,"2022-03-31 09:32:18",1334
159,1,"2022-06-07 00:23:04",1336
160,1,"2022-06-07 06:09:05",1337
161,1,"2022-04-09 22:13:45",1349
162,2,"2022-04-10 20:36:57",1354
163,3,"2022-04-11 02:12:23",1356
164,1,"2022-07-21 18:19:50",1361
165,1,"2022-05-15 23:02:15",1386
166,1,"2022-02-04 20:30:03",1459
167,2,"2022-02-05 10:10:54",1462
168,1,"2022-08-29 23:00:21",1464
169,3,"2022-08-30 07:08:52",1466
170,1,"2022-09-10 22:34:07",1489
171,1,"2022-09-12 19:57:51",1499
172,1,"2022-09-13 11:34:40",1503
173,2,"2022-09-14 02:33:26",1506
174,3,"2022-09-18 01:00:45",1523
175,1,"2022-09-18 10:20:51",1525
176,1,"2022-09-19 08:35:55",1530
177,1,"2022-09-20 05:50:21",1536
178,1,"2022-09-21 03:00:05",1540
179,1,"2022-09-23 04:26:00",1551
180,3,"2022-09-23 15:29:16",1553
181,1,"2022-09-25 02:38:54",1561
182,3,"2022-09-25 20:21:18",1566
183,1,"2022-10-16 13:22:08",1574
184,1,"2022-10-17 02:49:21",1576
185,1,"2022-10-17 06:41:23",1577
186,1,"2022-10-17 18:24:37",1579
187,2,"2022-09-04 13:24:43",1600
188,1,"2022-09-07 03:05:32",1612
189,1,"2022-09-11 04:14:29",1636
190,1,"2022-09-20 04:24:20",1679
191,2,"2022-02-03 08:58:05",1697
192,1,"2022-08-26 17:18:51",1712
193,2,"2022-08-27 09:30:36",1715
194,1,"2022-12-09 21:51:00",1735
195,2,"2022-12-11 17:43:57",1743
196,1,"2022-12-12 21:50:54",1750
197,1,"2022-12-14 02:19:32",1756
198,1,"2022-12-15 05:20:50",1760
199,5,"2022-12-16 03:42:16",1765
200,2,"2022-09-26 20:48:15",1779
201,1,"2022-08-16 02:17:17",1789
202,2,"2022-08-18 17:10:43",1801
203,2,"2022-08-19 12:54:10",1805
204,1,"2022-08-20 04:16:23",1808
205,3,"2022-08-20 12:33:19",1809
206,1,"2022-08-21 17:50:30",1813
207,2,"2022-08-22 17:14:02",1818
208,1,"2022-08-23 04:38:03",1821
209,1,"2022-12-12 03:28:37",1856
210,1,"2022-12-12 20:30:46",1859
211,1,"2022-12-13 13:22:49",1862
212,1,"2022-08-26 21:37:24",1877
213,1,"2022-08-27 06:11:25",1879
214,2,"2022-05-05 16:21:28",1891
215,1,"2022-10-08 00:47:36",1921
216,1,"2022-10-10 21:13:27",1936
217,1,"2022-10-10 23:34:01",1937
218,3,"2022-10-12 00:05:07",1942
219,2,"2022-10-12 09:44:53",1944
220,2,"2022-10-16 05:32:26",1962
221,3,"2022-10-16 23:22:23",1967
222,1,"2022-07-10 15:10:03",1969
223,1,"2022-01-03 20:04:03",1992
224,1,"2022-08-09 09:06:56",1997
225,1,"2022-04-28 06:02:19",2001
226,2,"2022-04-24 09:41:44",2014
227,2,"2022-04-16 18:06:33",2054
228,2,"2022-07-05 20:38:33",2079
229,2,"2022-09-05 04:19:37",2090
230,1,"2022-09-06 17:39:06",2099
231,1,"2022-06-02 22:25:14",2128
232,3,"2022-06-03 21:52:14",2133
233,1,"2022-04-16 02:24:15",2139
234,1,"2022-07-14 20:15:01",2148
235,1,"2022-07-15 10:34:26",2151
236,1,"2022-07-17 14:18:32",2165
237,1,"2022-07-20 02:04:44",2176
238,1,"2022-08-04 01:17:00",2185
239,1,"2022-08-04 07:56:22",2186
240,5,"2022-01-09 09:34:30",2198
241,1,"2022-01-09 15:46:06",2199
242,3,"2022-07-19 21:46:37",2209
243,5,"2022-07-20 01:41:45",2210
244,1,"2022-07-20 10:09:57",2212
245,1,"2022-07-22 21:55:53",2227
246,2,"2022-05-22 14:03:57",2234
247,1,"2022-09-01 23:39:05",2240
248,1,"2022-09-03 16:39:37",2250
249,2,"2022-09-05 21:01:30",2259
250,2,"2022-09-08 00:04:56",2270
251,2,"2022-10-27 12:11:26",2283
252,1,"2022-05-03 12:27:03",2289
253,1,"2022-05-03 23:22:06",2291
254,2,"2022-09-04 17:41:46",2320
255,1,"2022-12-26 06:46:08",2349
256,1,"2022-11-09 06:07:15",2354
257,1,"2022-11-11 13:18:23",2364
258,1,"2022-11-17 01:40:22",2389
259,1,"2022-01-16 17:23:17",2400
260,3,"2022-01-18 09:18:22",2409
261,2,"2022-07-09 02:11:12",2412
262,1,"2022-07-09 15:55:42",2415
263,1,"2022-06-01 00:38:21",2421
264,2,"2022-08-24 01:11:10",2435
265,5,"2022-12-30 06:23:46",2454
266,2,"2022-11-05 22:11:15",2470
267,2,"2022-08-03 23:59:07",2480
268,1,"2022-08-04 14:12:57",2482
269,2,"2022-08-05 06:57:09",2487
270,3,"2022-08-07 07:34:08",2497
271,1,"2022-05-21 04:55:57",2505
272,1,"2022-06-21 04:43:45",2508
273,1,"2022-06-21 08:17:20",2509
274,1,"2022-06-22 20:30:00",2517
275,5,"2022-11-11 15:00:24",2532
276,3,"2022-11-12 08:16:57",2535
277,1,"2022-12-15 22:08:11",2549
278,2,"2022-12-18 22:44:12",2565
279,1,"2022-07-28 13:11:45",2569
280,2,"2022-07-28 23:40:09",2572
281,1,"2022-12-16 03:30:50",2583
282,2,"2022-12-16 16:05:40",2586
283,2,"2022-12-17 09:59:29",2589
284,1,"2022-02-17 17:10:23",2590
285,5,"2022-02-17 23:09:55",2592
286,1,"2022-11-13 19:16:50",2603
287,2,"2022-09-29 06:04:22",2632
288,1,"2022-09-29 19:27:55",2635
289,1,"2022-09-30 12:44:41",2638
290,3,"2022-10-02 00:09:21",2644
291,3,"2022-10-02 17:39:36",2649
292,1,"2022-08-11 03:23:03",2655
293,1,"2022-08-11 07:20:52",2657
294,2,"2022-06-17 07:27:14",2669
295,3,"2022-06-17 18:15:21",2671
296,2,"2022-06-30 07:24:58",2690
297,1,"2022-07-03 01:52:41",2704
298,5,"2022-07-04 09:09:56",2712
299,1,"2022-07-23 00:31:57",2735
300,3,"2022-07-23 22:40:24",2740
301,2,"2022-12-10 20:34:39",2776
302,3,"2022-12-11 10:53:11",2779
303,3,"2022-04-04 00:38:52",2788
304,2,"2022-07-17 04:08:16",2802
305,2,"2022-07-19 16:05:12",2815
306,1,"2022-07-19 22:42:21",2816
307,1,"2022-02-21 04:05:40",2826
308,1,"2022-01-28 20:30:35",2834
309,1,"2022-04-23 14:37:35",2848
310,1,"2022-10-06 17:30:13",2870
311,1,"2022-12-07 20:40:47",2914
312,2,"2022-12-08 17:30:13",2919
313,1,"2022-12-10 22:38:02",2932
314,1,"2022-12-13 06:32:20",2944
315,1,"2022-12-13 11:14:00",2946
316,1,"2022-12-14 12:24:55",2951
317,1,"2022-12-17 01:55:41",2961
318,3,"2022-12-17 08:03:33",2963
319,5,"2022-03-31 23:33:22",2983
320,1,"2022-08-04 15:41:13",2999
321,3,"2022-08-04 16:40:32",3000
322,1,"2022-08-05 14:31:09",3005
323,1,"2022-08-07 00:50:27",3010
324,2,"2022-08-07 15:11:46",3014
325,3,"2022-10-15 01:09:09",3019
326,3,"2022-10-15 12:33:20",3021
327,1,"2022-10-16 09:29:00",3025
328,2,"2022-11-01 05:01:52",3041
329,2,"2022-11-01 18:30:34",3045
330,1,"2022-11-02 00:57:05",3047
331,5,"2022-08-08 21:21:47",3054
332,2,"2022-08-10 13:22:33",3062
333,1,"2022-09-09 18:53:13",3076
334,5,"2022-09-10 03:26:21",3078
335,3,"2022-09-10 07:09:14",3080
336,1,"2022-07-06 07:17:35",3113
337,1,"2022-07-07 00:18:11",3116
338,1,"2022-07-10 22:07:41",3133
339,2,"2022-07-11 20:49:45",3137
340,1,"2022-07-15 21:38:55",3157
341,1,"2022-07-19 01:37:33",3172
342,3,"2022-07-19 13:09:43",3175
343,2,"2022-07-21 04:02:36",3184
344,2,"2022-07-22 01:17:27",3189
345,1,"2022-10-09 17:59:47",3208
346,1,"2022-10-11 09:08:28",3214
347,1,"2022-09-18 07:49:33",3224
348,1,"2022-09-20 08:15:16",3233
349,2,"2022-09-21 05:21:45",3238
350,3,"2022-09-23 02:20:14",3246
351,1,"2022-09-24 06:43:45",3253
